RSI(14)_value,RSI(14)_status,"STOCH(9,6)_value","STOCH(9,6)_status",STOCHRSI(14)_value,STOCHRSI(14)_status,"MACD(12,26)_value","MACD(12,26)_status",ATR(14)_value,ATR(14)_status,ADX(14)_value,ADX(14)_status,CCI(14)_value,CCI(14)_status,Highs/Lows(14)_value,Highs/Lows(14)_status,UO_value,UO_status,ROC_value,ROC_status,WilliamsR_value,WilliamsR_status,BullBear(13)_value,BullBear(13)_status,Summary_value,Summary_status,Fiyat,Degisim,Hisse,Tarih,MA5_state,MA5_value,MA10_state,MA10_value,MA20_state,MA20_value,MA50_state,MA50_value,MA100_state,MA100_value,MA200_state,MA200_value,Summary_state,Summary_value
69.674,Buy,71.873,Buy,38.292,Sell,1.862,Buy,1.3793,High Volatility,70.557,Overbought,92.0041,Buy,1.6900,Buy,56.488,Buy,68.462,Buy,-28.018,Buy,3.9860,Buy,Buy (9) ,Strong Buy,15330,-4.07,GEREL,2023-03-22,SAT,15.784,AL,14.221,AL,11.911,AL,9.800,AL,9.109,AL,7.159,AL,Buy (11)
44.075,Sell,21.834,Sell,2.336,Oversold,-0.060,Sell,1.6243,Less Volatility,38.205,Sell,-135.2941,Sell,-2.0186,Sell,37.024,Sell,-8.571,Sell,-92.547,Oversold,-2.9460,Sell,Buy (0) ,Strong Sell,4102,+0.44,SAHOL,2023-03-22,SAT,41.78,SAT,42.98,SAT,43.41,SAT,41.54,AL,40.55,AL,32.38,SAT,Buy (4)
42.577,Sell,22.563,Sell,10.514,Oversold,-0.060,Sell,0.1243,Less Volatility,27.698,Sell,-111.1588,Sell,-0.1150,Sell,34.249,Sell,-4.473,Sell,-86.957,Oversold,-0.1940,Sell,Buy (0) ,Strong Sell,2990,+1.01,GSDHO,2023-03-22,SAT,3.028,SAT,3.125,SAT,3.129,SAT,3.218,SAT,3.330,AL,2.686,SAT,Buy (2)
35.903,Sell,16.026,Oversold,4.349,Oversold,-0.122,Sell,0.1300,Less Volatility,45.492,Sell,-139.4935,Sell,-0.1671,Sell,25.278,Oversold,-13.109,Sell,-96.154,Oversold,-0.3020,Sell,Buy (0) ,Strong Sell,2320,+0.43,KLGYO,2023-03-22,SAT,2.372,SAT,2.501,SAT,2.626,SAT,2.770,SAT,2.998,AL,2.197,SAT,Buy (1)
41.813,Sell,24.617,Sell,16.984,Oversold,-0.910,Sell,1.5800,Less Volatility,33.197,Sell,-115.8756,Sell,-0.9029,Sell,30.997,Sell,-2.261,Sell,-83.746,Oversold,-2.8480,Sell,Buy (0) ,Strong Sell,3112,+1.83,TCELL,2023-03-22,SAT,31.47,SAT,32.67,SAT,32.40,SAT,34.65,SAT,34.11,AL,27.04,SAT,Buy (2)
49.602,Neutral,36.516,Sell,0.000,Oversold,0.080,Buy,0.2029,Less Volatility,37.393,Sell,-20.5261,Neutral,0.0000,Neutral,42.285,Sell,3.081,Buy,-70.526,Sell,-0.1000,Sell,Buy (2) ,Sell,369,+0.27,MOBTL,2023-03-22,SAT,3.80,SAT,3.85,SAT,3.72,AL,3.57,SAT,3.75,AL,2.99,SAT,Buy (5)
58.017,Buy,64.197,Buy,41.938,Sell,0.096,Buy,0.1464,High Volatility,45.378,Neutral,38.1175,Neutral,0.0036,Buy,41.435,Sell,25.000,Buy,-43.210,Buy,0.1240,Buy,Buy (7) ,Strong Buy,1950,+1.04,YGYO,2023-03-22,SAT,2.028,SAT,1.990,AL,1.776,AL,1.740,AL,1.630,AL,1.263,AL,Buy (9)
40.313,Sell,21.792,Sell,4.003,Oversold,-0.263,Sell,0.4979,Less Volatility,31.732,Sell,-144.0713,Sell,-0.5721,Sell,29.874,Oversold,-12.477,Sell,-91.979,Oversold,-0.9460,Sell,Buy (0) ,Strong Sell,9700,+0.62,ISGYO,2023-03-22,SAT,9.902,SAT,10.290,SAT,10.481,SAT,10.730,SAT,10.023,SAT,11.978,SAT,Buy (0)
54.182,Neutral,34.504,Sell,58.501,Buy,0.187,Buy,0.6350,Less Volatility,26.790,Sell,4.0339,Neutral,0.0000,Neutral,39.355,Sell,3.387,Buy,-50.802,Neutral,0.2480,Buy,Buy (4) ,Buy,10950,+2.82,POLHO,2023-03-22,AL,10.780,AL,10.765,AL,10.658,AL,10.191,SAT,11.621,AL,8.934,AL,Buy (11)
39.994,Sell,13.555,Oversold,3.240,Oversold,-0.413,Sell,1.2843,Less Volatility,33.862,Sell,-132.6195,Sell,-2.3986,Sell,23.479,Oversold,-11.374,Sell,-98.148,Oversold,-3.0440,Sell,Buy (0) ,Strong Sell,28540,+0.49,ENKAI,2023-03-22,SAT,29.176,SAT,30.606,SAT,31.415,SAT,30.327,AL,27.640,AL,23.023,SAT,Buy (4)
51.557,Neutral,49.376,Neutral,46.363,Neutral,0.022,Buy,0.2243,High Volatility,52.769,Buy,42.8735,Neutral,0.0000,Neutral,42.585,Sell,2.347,Buy,-54.118,Neutral,0.1080,Buy,Buy (4) ,Buy,4350,-1.36,DARDL,2023-03-22,SAT,4.470,AL,4.344,AL,4.240,AL,4.360,SAT,4.930,SAT,4.443,SAT,Buy (5)
47.194,Neutral,40.589,Sell,11.606,Oversold,0.373,Buy,5.2500,Less Volatility,25.465,Sell,-103.6708,Sell,-1.5214,Sell,38.969,Sell,-0.739,Sell,-73.333,Sell,-6.4300,Sell,Buy (1) ,Strong Sell,107000,-0.93,SASA,2023-03-22,SAT,109.740,SAT,111.550,SAT,110.355,SAT,108.649,SAT,117.781,AL,87.278,SAT,Buy (3)
39.179,Sell,17.205,Oversold,6.009,Oversold,-0.149,Sell,0.2143,Less Volatility,40.510,Sell,-113.6601,Sell,-0.4400,Sell,21.948,Oversold,-19.864,Sell,-94.286,Oversold,-0.4940,Sell,Buy (0) ,Strong Sell,4720,+0.85,ZOREN,2023-03-22,SAT,4.828,SAT,5.008,SAT,5.204,SAT,5.211,SAT,6.122,AL,4.509,SAT,Buy (2)
49.839,Neutral,28.268,Sell,87.106,Overbought,-0.110,Sell,0.4443,Less Volatility,17.919,Neutral,83.8602,Buy,0.0000,Neutral,27.309,Oversold,-1.414,Sell,-44.118,Buy,0.5280,Buy,Buy (3) ,Neutral,1048,+2.34,EUREN,2023-03-22,AL,10.19,AL,10.28,SAT,10.50,SAT,10.66,SAT,12.42,AL,9.77,AL,Buy (7)
42.280,Sell,38.235,Sell,0.000,Oversold,-0.027,Sell,0.0557,Less Volatility,30.619,Sell,-135.8169,Sell,-0.0343,Sell,37.339,Sell,-4.587,Sell,-82.353,Oversold,-0.0580,Sell,Buy (0) ,Strong Sell,1040,0.00,IHGZT,2023-03-22,SAT,1.074,SAT,1.101,SAT,1.086,SAT,1.162,SAT,1.204,AL,0.948,SAT,Buy (2)
